PID,Degradability
P342466,1.971466426821899
P070058,1.8222786331219232
P332335,1.8221152573991206
P040236,1.8175121408125683
P402272,1.7803718054196433
P332362,1.637276637639222
P340162,1.6119355880714263
P450057,1.6031148757347942
P342682,1.5599416784639406
P512055,1.5481264083276263
P392794,1.540054936249188
P510010,1.5160536931901698
P342738,1.5026118019838044
P342410,1.496448326446961
P370591,1.4898084556222926
P422017,1.4857028366282812
P332262,1.4678723600508943
P330072,1.4497771353880256
P510044,1.446159792241807
P512143,1.4461597481444401
P090122,1.4385199433524911
P090168,1.4385199433524911
P342581,1.4376568522417899
P100262,1.4263451050919995
P040171,1.422929972913717
P040331,1.4227970620839168
P070661,1.4223664706981642
P512050,1.4163009840700136
P434069,1.415867025796079
P400140,1.4093154956970841
P392573,1.404180977370297
P100175,1.4040182383815725
P070419,1.4028971587272454
P440017,1.4013744152978043
P462015,1.4000930261374418
P040250,1.3999022728189126
P392013,1.3938662229649437
P390088,1.3938662229649437
P342635,1.3929058915845485
P342052,1.3825567192328925
P372599,1.3808618290339623
P210032,1.3759070255789922
P434070,1.3712131931282348
P510008,1.3696960687781286
P392840,1.3671666801442148
P392869,1.3647718314666792
P090301,1.3536196485719652
P400021,1.3517030073728242
P392447,1.3407455757091467
P332291,1.3282355272570658
P373782,1.3270352521275266
P040235,1.3225578125975268
P342741,1.3203664382315807
P100621,1.3172007264356504
P392759,1.3148733115540954
P392628,1.3113874987159975
P100116,1.31122332089096
P512080,1.3085081489465455
P330103,1.3060525979839548
P342557,1.3053929867489549
P320010,1.2976196314933786
P040234,1.293883811912844
P310005,1.2937478874800599
P320027,1.2922113683409207
P462016,1.2901655650991377
P412172,1.287520855158021
P392448,1.286378890517041
P342338,1.2830661667672199
P332433,1.280746323442822
P340045,1.2789468243337474
P462551,1.2786442630769819
P342282,1.2752537950180027
P372886,1.2727545943281973
P392777,1.2715876105865211
P070369,1.269944768607984
P070028,1.267357222906721
P512123,1.2668120064983484
P452054,1.2626455665323006
P090469,1.2604835989469467
P392476,1.2586470253524094
P332152,1.2562913200083035
P342413,1.2551926625442
P070061,1.2539447142102587
P014525,1.2501409337334688
P060023,1.2501409337334688
P452079,1.2473252295036303
P462014,1.2456799344147376
P373785,1.240958390495766
P390134,1.2406197495327997
P150026,1.2355178014064685
